Title,Location,ImagePath, Id
Electric Castel,Bontida,.\Pictures\bun\event1.png, 01014362-c1a2-4211-bfff-bf6aff12cb22
Jazz in the Park,Cluj-Napoca,.\Pictures\bun\event2.png, 0343d90f-e8a4-41be-8be3-94992f253880
Street Food Festival,Oradea,.\Pictures\bun\event3.png, 14d8fd31-d986-4ce4-9be7-b2dcf6ec79f6
Street Food Festival,Iasi,.\Pictures\bun\event4.png,14d8fd31-d986-4ce4-9be7-b2dcf6ec79f5
Street Food Festival,Satu-Mare,.\Pictures\bun\event5.png, 14d8fd31-d986-4ce4-9be7-b2dcf6ec79f4
Street Food Festival,Cluj-Napoca,.\Pictures\bun\event6.png, 14d8fd31-d986-4ce4-9be7-b2dcf6ec79f3
Music Festival,Iasi,.\Pictures\bun\event7.png, 14d8fd31-d986-4ce4-9be7-b2dcf6ec79f2
The Power of Food Festival,Iasi,.\Pictures\bun\event8.png, 14d8fd31-d986-4ce4-9be7-b2dcf6ec79f1 
Jazz in the Park,Iasi,.\Pictures\bun\event9.png, 14d8fd31-d986-4ce4-9be7-b2dcf6ec79f0
Untold,Cluj-Napoca,.\Pictures\bun\event10.png, 14d8fd31-d986-4ce4-9be7-b2dcf6ec79f7
Untold V2,Iasi, .\Pictures\bun\event11.png, 14d8fd31-d986-4ce4-9be7-b2dcf6ec79f8
Film Festival,Iasi,.\Pictures\bun\event12.png, 01014362-c1a2-4211-bfff-bf6aff12cb23
Zilele Orasului, Oravita,.\Pictures\bun\event13.png, 01014362-c1a2-4211-bfff-bf6aff12cb24
Zilele Orasului,Hateg,.\Pictures\bun\event14.png, 01014362-c1a2-4211-bfff-bf6aff12cb25
Zilele Orasului,Satu-Mare,.\Pictures\bun\event15.png, 01014362-c1a2-4211-bfff-bf6aff12cb26
Saga, Bucuresti,.\Pictures\bun\event16.png, 01014362-c1a2-4211-bfff-bf6aff12cb27
Hustle, Iasi,.\Pictures\bun\event17.png, 01014362-c1a2-4211-bfff-bf6aff12cb28
